,ask,size
2018-10-01 00:00:00.139000+00:00,26602.0,12.0
2018-10-01 00:00:00.492000+00:00,26601.0,12.0
2018-10-01 00:00:01.196000+00:00,26599.0,10.0
2018-10-01 00:00:01.548000+00:00,26600.0,12.0
2018-10-01 00:00:04.356000+00:00,26601.0,12.0
2018-10-01 00:00:07.514000+00:00,26600.0,12.0
2018-10-01 00:00:07.866000+00:00,26599.0,12.0
2018-10-01 00:00:08.218000+00:00,26598.0,12.0
2018-10-01 00:00:10.321000+00:00,26599.0,12.0
2018-10-01 00:00:11.724000+00:00,26598.0,12.0
2018-10-01 00:00:12.076000+00:00,26597.0,12.0
2018-10-01 00:00:14.180000+00:00,26596.0,10.0
2018-10-01 00:00:14.884000+00:00,26598.0,12.0
2018-10-01 00:00:15.936000+00:00,26597.0,12.0
2018-10-01 00:00:16.287000+00:00,26598.0,12.0
2018-10-01 00:00:17.340000+00:00,26597.0,12.0
2018-10-01 00:00:17.689000+00:00,26598.0,12.0
2018-10-01 00:00:18.742000+00:00,26597.0,12.0
2018-10-01 00:00:20.147000+00:00,26596.0,12.0
2018-10-01 00:00:20.499000+00:00,26597.0,12.0
2018-10-01 00:00:25.758000+00:00,26598.0,12.0
2018-10-01 00:00:29.617000+00:00,26597.0,12.0
2018-10-01 00:00:51.010000+00:00,26598.0,12.0
2018-10-01 00:01:00.835000+00:00,26597.0,12.0
2018-10-01 00:01:07.147000+00:00,26598.0,12.0
2018-10-01 00:01:12.055000+00:00,26599.0,12.0
2018-10-01 00:01:12.757000+00:00,26598.0,12.0
2018-10-01 00:01:20.121000+00:00,26599.0,12.0
2018-10-01 00:01:21.523000+00:00,26600.0,12.0
2018-10-01 00:01:38.356000+00:00,26601.0,12.0
2018-10-01 00:01:39.058000+00:00,26600.0,12.0
2018-10-01 00:01:43.966000+00:00,26599.0,12.0
2018-10-01 00:01:54.481000+00:00,26600.0,12.0
2018-10-01 00:01:58.338000+00:00,26599.0,12.0
2018-10-01 00:02:00.442000+00:00,26600.0,12.0
2018-10-01 00:02:03.600000+00:00,26599.0,12.0
2018-10-01 00:02:07.112000+00:00,26597.0,12.0
2018-10-01 00:02:11.670000+00:00,26598.0,12.0
2018-10-01 00:02:13.773000+00:00,26597.0,12.0
2018-10-01 00:02:21.485000+00:00,26596.0,12.0
2018-10-01 00:02:25.694000+00:00,26597.0,12.0
