,bid,size
2018-10-01 00:00:01.196000+00:00,26598.0,30.0
2018-10-01 00:00:05.761000+00:00,26599.0,15.0
2018-10-01 00:00:07.514000+00:00,26598.0,15.0
2018-10-01 00:00:07.866000+00:00,26597.0,31.0
2018-10-01 00:00:08.218000+00:00,26595.0,31.0
2018-10-01 00:00:08.919000+00:00,26596.0,15.0
2018-10-01 00:00:12.076000+00:00,26595.0,20.0
2018-10-01 00:00:14.180000+00:00,26594.0,31.0
2018-10-01 00:00:14.884000+00:00,26595.0,31.0
2018-10-01 00:00:18.742000+00:00,26594.0,31.0
2018-10-01 00:00:20.849000+00:00,26595.0,15.0
2018-10-01 00:00:22.603000+00:00,26594.0,25.0
2018-10-01 00:00:24.006000+00:00,26595.0,15.0
2018-10-01 00:00:28.563000+00:00,26596.0,15.0
2018-10-01 00:00:29.617000+00:00,26595.0,25.0
2018-10-01 00:00:33.824000+00:00,26594.0,25.0
2018-10-01 00:00:48.906000+00:00,26595.0,15.0
2018-10-01 00:01:09.600000+00:00,26596.0,15.0
2018-10-01 00:01:20.472000+00:00,26597.0,15.0
2018-10-01 00:01:30.290000+00:00,26598.0,15.0
2018-10-01 00:01:30.991000+00:00,26597.0,31.0
2018-10-01 00:01:38.356000+00:00,26598.0,30.0
2018-10-01 00:01:39.058000+00:00,26597.0,31.0
2018-10-01 00:02:05.354000+00:00,26596.0,31.0
2018-10-01 00:02:07.112000+00:00,26594.0,30.0
2018-10-01 00:02:10.618000+00:00,26595.0,15.0
2018-10-01 00:02:10.968000+00:00,26594.0,31.0
2018-10-01 00:02:11.670000+00:00,26595.0,25.0
2018-10-01 00:02:15.176000+00:00,26594.0,31.0
2018-10-01 00:02:28.146000+00:00,26595.0,15.0
2018-10-01 00:02:29.898000+00:00,26596.0,15.0
2018-10-01 00:02:30.249000+00:00,26595.0,30.0
2018-10-01 00:02:32.352000+00:00,26596.0,15.0
2018-10-01 00:02:32.703000+00:00,26597.0,15.0
2018-10-01 00:02:35.157000+00:00,26598.0,15.0
2018-10-01 00:02:41.467000+00:00,26597.0,25.0
2018-10-01 00:02:47.427000+00:00,26598.0,30.0
2018-10-01 00:02:56.891000+00:00,26597.0,31.0
2018-10-01 00:03:01.100000+00:00,26596.0,31.0
2018-10-01 00:03:02.855000+00:00,26595.0,15.0
2018-10-01 00:03:14.776000+00:00,26592.0,15.0
2018-10-01 00:03:23.541000+00:00,26591.0,30.0
2018-10-01 00:03:26.345000+00:00,26592.0,30.0
2018-10-01 00:03:27.397000+00:00,26591.0,20.0
2018-10-01 00:03:36.519000+00:00,26590.0,31.0
2018-10-01 00:03:37.572000+00:00,26591.0,15.0
2018-10-01 00:03:38.625000+00:00,26590.0,31.0
2018-10-01 00:03:42.133000+00:00,26589.0,15.0
2018-10-01 00:03:47.741000+00:00,26588.0,31.0
2018-10-01 00:03:48.443000+00:00,26589.0,15.0
2018-10-01 00:03:49.144000+00:00,26588.0,31.0
2018-10-01 00:03:49.495000+00:00,26589.0,25.0
2018-10-01 00:03:50.547000+00:00,26588.0,31.0
2018-10-01 00:03:51.249000+00:00,26589.0,25.0
2018-10-01 00:03:51.952000+00:00,26588.0,25.0
2018-10-01 00:03:53.354000+00:00,26589.0,25.0
2018-10-01 00:04:00.367000+00:00,26590.0,20.0
2018-10-01 00:04:01.069000+00:00,26591.0,15.0
2018-10-01 00:04:01.770000+00:00,26592.0,15.0
2018-10-01 00:04:03.523000+00:00,26591.0,31.0
2018-10-01 00:04:06.681000+00:00,26590.0,30.0
2018-10-01 00:04:07.382000+00:00,26591.0,15.0
2018-10-01 00:04:08.083000+00:00,26590.0,31.0
2018-10-01 00:04:15.095000+00:00,26591.0,15.0
2018-10-01 00:04:15.797000+00:00,26590.0,31.0
2018-10-01 00:04:16.497000+00:00,26591.0,15.0
2018-10-01 00:04:17.197000+00:00,26590.0,31.0
2018-10-01 00:04:31.919000+00:00,26589.0,30.0
2018-10-01 00:04:32.621000+00:00,26590.0,15.0
2018-10-01 00:04:35.073000+00:00,26589.0,31.0
2018-10-01 00:04:39.281000+00:00,26590.0,15.0
2018-10-01 00:04:39.631000+00:00,26589.0,31.0
2018-10-01 00:04:39.981000+00:00,26590.0,15.0
2018-10-01 00:04:40.332000+00:00,26589.0,31.0
2018-10-01 00:04:49.448000+00:00,26590.0,15.0
2018-10-01 00:04:49.798000+00:00,26589.0,31.0
2018-10-01 00:04:57.512000+00:00,26588.0,31.0
2018-10-01 00:04:57.865000+00:00,26589.0,15.0
2018-10-01 00:05:06.636000+00:00,26588.0,31.0
2018-10-01 00:05:11.544000+00:00,26587.0,31.0
2018-10-01 00:05:13.298000+00:00,26586.0,25.0
2018-10-01 00:05:17.508000+00:00,26587.0,15.0
2018-10-01 00:05:18.560000+00:00,26586.0,30.0
2018-10-01 00:05:18.910000+00:00,26587.0,15.0
